request_id,hospital_name,branch_id,blood_group,component,units_requested,units_fulfilled,urgency,requested_at,fulfilled_at,fulfilled_by_branch_id,status
R000001,Mumbai Children's Hospital,BR05,O-,RBC,1,0,ROUTINE,2026-03-25T07:01:12.413769+05:30,,,UNFULFILLED
R000002,Bengaluru Children's Hospital,BR01,O-,RBC,1,0,ROUTINE,2026-03-25T07:08:38.311773+05:30,,,UNFULFILLED
R000003,Mumbai Trauma Centre,BR05,O+,RBC,2,0,ROUTINE,2026-03-25T07:10:08.420583+05:30,,,UNFULFILLED
R000004,Delhi Children's Hospital,BR06,B+,RBC,1,0,ROUTINE,2026-03-25T07:12:15.427595+05:30,,,UNFULFILLED
R000005,Kochi Trauma Centre,BR02,B POS,PLATELETS,1,0,URGENT,2026-03-25T07:20:37.558647+05:30,,,UNFULFILLED
R000006,Hyderabad Cancer Institute,BR04,B+,PLASMA,1,0,ROUTINE,2026-03-25T07:58:30.921344+05:30,,,UNFULFILLED
R000007,Bengaluru Maternity Hospital,BR01,AB+,PLATELETS,1,0,ROUTINE,2026-03-25T08:03:16.079688+05:30,,,UNFULFILLED
R000008,Bengaluru General Hospital,BR01,O+,RBC,1,1,ROUTINE,2026-03-25T08:11:20.492157+05:30,2026-03-25T11:15:20.802359+05:30,BR02,FULFILLED
R000009,Delhi Trauma Centre,BR06,B+,PLATELETS,1,1,ROUTINE,2026-03-25T08:52:38.211755+05:30,2026-03-25T11:32:59.655196+05:30,BR05,FULFILLED
R000010,Bengaluru General Hospital,BR01,O+,RBC,2,2,URGENT,2026-03-25T09:16:45.766468+05:30,2026-03-25T10:14:17.450030+05:30,BR01,FULFILLED
R000011,Chennai General Hospital,BR03,O+,RBC,2,2,ROUTINE,2026-03-25T09:18:36.623950+05:30,2026-03-25T13:55:39.952345+05:30,BR03,FULFILLED
R000012,Mumbai Children's Hospital,BR05, A+ ,RBC,1,1,ROUTINE,2026-03-25T09:20:37.971456+05:30,2026-03-25T14:32:59.882943+05:30,BR04,FULFILLED
R000013,Bengaluru Maternity Hospital,BR01,A-,RBC,1,0,ROUTINE,2026-03-25T09:24:08.333179+05:30,,,UNFULFILLED
R000014,Delhi Cancer Institute,BR06,B+,RBC,1,1,ROUTINE,2026-03-25T09:38:05.241954+05:30,2026-03-25T12:04:22.158258+05:30,BR06,FULFILLED
R000015,Delhi Children's Hospital,BR06,AB+,RBC,3,0,EMERGENCY,2026-03-25T10:27:01.076075+05:30,,,UNFULFILLED
R000016,Hyderabad General Hospital,BR04,A+,RBC,2,2,ROUTINE,2026-03-25T10:27:40.347806+05:30,2026-03-25T15:01:15.235775+05:30,BR04,FULFILLED
R000017,Delhi General Hospital,BR06,O+,PLASMA,1,1,ROUTINE,2026-03-25T10:39:02.412138+05:30,2026-03-25T14:06:28.812565+05:30,BR06,FULFILLED
R000018,Delhi General Hospital,BR06,O+,RBC,3,3,EMERGENCY,2026-03-25T11:37:13.116309+05:30,2026-03-25T11:54:56.140496+05:30,BR06,FULFILLED
R000019,Delhi Trauma Centre,BR06,O+,PLATELETS,1,1,ROUTINE,2026-03-25T11:43:52.526052+05:30,2026-03-25T15:12:11.471478+05:30,BR01,FULFILLED
R000020,Bengaluru Children's Hospital,BR01,O+,RBC,3,3,URGENT,2026-03-25T11:55:41.496422+05:30,2026-03-25T14:31:32.700625+05:30,BR01,FULFILLED
R000021,Bengaluru Cancer Institute,BR01,B+,PLATELETS,2,2,ROUTINE,2026-03-25T12:03:19.289246+05:30,2026-03-25T15:21:54.071150+05:30,BR01,FULFILLED
R000022,Hyderabad Children's Hospital,BR04,O+,RBC,1,1,ROUTINE,2026-03-25T12:31:39.680117+05:30,2026-03-25T16:20:28.515344+05:30,BR04,FULFILLED
R000023,Kochi Trauma Centre,BR02,B POS,RBC,1,1,ROUTINE,2026-03-25T12:40:07.636882+05:30,2026-03-25T14:53:48.360565+05:30,BR02,FULFILLED
R000024,Mumbai Maternity Hospital,BR05,B+,PLATELETS,1,1,URGENT,2026-03-25T12:43:51.532898+05:30,2026-03-25T14:57:11.984708+05:30,BR04,FULFILLED
R000025,Bengaluru Trauma Centre,BR01,O+,PLATELETS,2,2,URGENT,2026-03-25T13:09:27.305075+05:30,2026-03-25T14:31:07.600457+05:30,BR01,FULFILLED
R000026,Kochi Children's Hospital,BR02,O+,PLATELETS,1,1,ROUTINE,2026-03-25T13:11:11.428529+05:30,2026-03-25T14:51:08.053032+05:30,BR02,FULFILLED
R000027,Kochi Cancer Institute,BR02,O POS,RBC,1,1,ROUTINE,2026-03-25T13:33:08.591998+05:30,2026-03-25T15:22:37.005590+05:30,BR02,FULFILLED
R000028,Mumbai Children's Hospital,BR05,A+,RBC,1,1,ROUTINE,2026-03-25T13:34:34.289750+05:30,2026-03-25T15:21:55.357037+05:30,BR05,FULFILLED
R000029,Bengaluru Cancer Institute,BR01,O+,RBC,2,2,ROUTINE,2026-03-25T13:41:47.470604+05:30,2026-03-25T15:24:19.907463+05:30,BR01,FULFILLED
R000030,Delhi Trauma Centre,BR06,O+,RBC,3,3,URGENT,2026-03-25T14:08:46.957117+05:30,2026-03-25T15:25:16.840970+05:30,BR06,FULFILLED
R000031,Kochi General Hospital,BR02,B+,RBC,1,1,ROUTINE,2026-03-25T14:15:27.450075+05:30,2026-03-25T16:35:12.526932+05:30,BR02,FULFILLED
