event_id,unit_id,event_type,event_time,from_branch_id,to_branch_id,request_id
E0000001,U0000003,ISSUED,2026-03-25T11:15:20.802359+05:30,BR02,BR01,R000008
E0000002,U0000010,ISSUED,2026-03-25T11:32:59.655196+05:30,BR05,BR06,R000009
E0000003,U0000007,ISSUED,2026-03-25T10:14:17.450030+05:30,BR01,BR01,R000010
E0000004,U0000015,ISSUED,2026-03-25T10:14:17.450030+05:30,BR01,BR01,R000010
E0000005,U0000013,ISSUED,2026-03-25T13:55:39.952345+05:30,BR03,BR03,R000011
E0000006,U0000012,ISSUED,2026-03-25T13:55:39.952345+05:30,BR02,BR03,R000011
E0000007,U0000021,ISSUED,2026-03-25T14:32:59.882943+05:30,BR04,BR05,R000012
E0000008,U0000016,ISSUED,2026-03-25T12:04:22.158258+05:30,BR06,BR06,R000014
E0000009,U0000031,ISSUED,2026-03-25T15:01:15.235775+05:30,BR04,BR04,R000016
E0000010,U0000024,ISSUED,2026-03-25T15:01:15.235775+05:30,BR03,BR04,R000016
E0000011,U0000038,ISSUED,2026-03-25T14:06:28.812565+05:30,BR06,BR06,R000017
E0000012,U0000027,ISSUED,2026-03-25T11:54:56.140496+05:30,BR06,BR06,R000018
E0000013,U0000037,ISSUED,2026-03-25T11:54:56.140496+05:30,BR06,BR06,R000018
E0000014,U0000049,ISSUED,2026-03-25T11:54:56.140496+05:30,BR06,BR06,R000018
E0000015,U0000008,ISSUED,2026-03-25T15:12:11.471478+05:30,BR01,BR06,R000019
E0000016,U0000041,ISSUED,2026-03-25T14:31:32.700625+05:30,BR01,BR01,R000020
E0000017,U0000061,ISSUED,2026-03-25T14:31:32.700625+05:30,BR01,BR01,R000020
E0000018,U0000023,ISSUED,2026-03-25T14:31:32.700625+05:30,BR04,BR01,R000020
E0000019,U0000006,ISSUED,2026-03-25T15:21:54.071150+05:30,BR01,BR01,R000021
E0000020,U0000002,ISSUED,2026-03-25T15:21:54.071150+05:30,BR02,BR01,R000021
E0000021,U0000046,ISSUED,2026-03-25T16:20:28.515344+05:30,BR04,BR04,R000022
E0000022,U0000057,ISSUED,2026-03-25T14:53:48.360565+05:30,BR02,BR02,R000023
E0000023,U0000065,ISSUED,2026-03-25T14:57:11.984708+05:30,BR04,BR05,R000024
E0000024,U0000062,ISSUED,2026-03-25T14:31:07.600457+05:30,BR01,BR01,R000025
E0000025,U0000096,ISSUED,2026-03-25T14:31:07.600457+05:30,BR01,BR01,R000025
E0000026,U0000004,ISSUED,2026-03-25T14:51:08.053032+05:30,BR02,BR02,R000026
E0000027,U0000104,DISCARDED_TTI,2026-03-26T13:20:34.909902+05:30,BR01,,
E0000028,U0000105,DISCARDED_TTI,2026-03-26T13:20:34.909902+05:30,BR01,,
E0000029,U0000076,ISSUED,2026-03-25T15:22:37.005590+05:30,BR02,BR02,R000027
E0000030,U0000035,ISSUED,2026-03-25T15:21:55.357037+05:30,BR05,BR05,R000028
E0000031,U0000088,ISSUED,2026-03-25T15:24:19.907463+05:30,BR01,BR01,R000029
E0000032,U0000095,ISSUED,2026-03-25T15:24:19.907463+05:30,BR01,BR01,R000029
E0000033,U0000072,ISSUED,2026-03-25T15:25:16.840970+05:30,BR06,BR06,R000030
E0000034,U0000129,ISSUED,2026-03-25T15:25:16.840970+05:30,BR06,BR06,R000030
E0000035,U0000071,ISSUED,2026-03-25T15:25:16.840970+05:30,BR06,BR06,R000030
E0000036,U0000058,ISSUED,2026-03-25T16:35:12.526932+05:30,BR02,BR02,R000031
E0000037,U0000109,ISSUED,2026-03-25T16:37:24.992122+05:30,BR02,BR01,R000032
E0000038,U0000126,ISSUED,2026-03-25T16:37:24.992122+05:30,BR02,BR01,R000032
E0000039,U0000137,ISSUED,2026-03-25T19:04:38.565718+05:30,BR01,BR05,R000033
E0000040,U0000142,ISSUED,2026-03-25T14:59:05.394203+05:30,BR05,BR05,R000034
